Post_id,Fashion Brand,Instagram Handle,Customer Feedback,Date,Location,Hashtag,Sentiment
66,Uniqlo,@uniqlo,Basics with a modern twist.,5/2/2020,"Bristol, UK",#ModernBasics,Positive
67,Nike,@nike,Their sneakers are top-notch!,4/17/2021,"London, UK",#SneakerObsession,Positive
68,Mango,@mango,Slow response from customer service.,11/29/2022,"Manchester, UK",#CustomerService,Negative
69,Topman,@topman,Lacks variety in formal wear.,2/23/2023,"Birmingham, UK",#FormalFashion,Neutral
70,Zara,@zaraofficial,Disappointed with the recent collection.,9/8/2020,"Glasgow, UK",#FashionDisappointment,Negative
71,Gucci,@gucci,Elegance and luxury combined.,6/11/2021,"London, UK",#LuxuryFashion,Positive
72,ASOS,@asos,Love the variety of sizes available.,3/2/2022,"Bristol, UK",#SizeInclusivity,Positive
73,H&M,@hm,Not happy with the recent designs.,1/15/2023,"Manchester, UK",#FashionReview,Negative
74,New Look,@newlook,Trendy and affordable options.,7/21/2020,"London, UK",#AffordableStyle,Positive
75,Adidas,@adidas,Top choice for sportswear.,9/9/2021,"Birmingham, UK",#AthleticWear,Positive
76,Balenciaga,@balenciaga,Not practical for everyday wear.,8/5/2022,"Leeds, UK",#HighFashion,Neutral
77,Primark,@primark,Perfect for budget-friendly shopping.,4/18/2023,"Edinburgh, UK",#AffordableFashion,Positive
78,Versace,@versace,Opulent and stylish.,3/12/2020,"Liverpool, UK",#LuxuryFashion,Positive
79,River Island,@riverisland,Used to be better.,11/7/2021,"Glasgow, UK",#NotImpressed,Negative
80,Missguided,@missguided,Quality is subpar.,5/30/2022,"Manchester, UK",#QuestionableQuality,Negative
81,Calvin Klein,@calvinklein,Classic designs with a modern touch.,8/10/2023,"London, UK",#ClassicModern,Positive
82,Uniqlo,@uniqlo,Not keeping up with current trends.,6/25/2020,"Birmingham, UK",#TrendLag,Negative
83,Nike,@nike,Leading in sportswear innovation.,11/29/2021,"Manchester, UK",#SportswearInnovation,Positive
84,Mango,@mango,Affordable fashion with style.,1/19/2022,"London, UK",#AffordableStyle,Positive
85,Topshop,@topshop,Quality has gone downhill.,7/14/2023,"Bristol, UK",#Disappointed,Negative
86,Zara,@zaraofficial,Stylish but overpriced.,8/9/2020,"Glasgow, UK",#FashionPricey,Neutral
87,Gucci,@gucci,Iconic luxury fashion.,3/30/2021,"Leeds, UK",#LuxuryFashion,Positive
88,ASOS,@asos,Inconsistent sizing.,6/20/2022,"Edinburgh, UK",#SizeInconsistency,Neutral
89,H&M,@hm,Great for affordable basics.,3/17/2023,"Manchester, UK",#WardrobeEssentials,Positive
90,New Look,@newlook,Wide range of fashion choices.,1/23/2020,"London, UK",#FashionChoices,Positive
91,Adidas,@adidas,Best for sports enthusiasts.,5/8/2021,"Birmingham, UK",#Sporty,Positive
92,Primark,@primark,Incredible value for money.,9/14/2022,"Glasgow, UK",#BudgetFashion,Positive
93,Versace,@versace,High-end luxury fashion.,4/9/2023,"Edinburgh, UK",#LuxuryFashion,Positive
94,River Island,@riverisland,Fashion for the younger crowd.,12/30/2020,"Manchester, UK",#YouthFashion,Positive
95,Missguided,@missguided,Affordable and trendy options.,2/14/2021,"London, UK",#FashionAffordable,Positive
96,Calvin Klein,@calvinklein,Timeless and elegant designs.,5/22/2022,"Bristol, UK",#Classic,Positive
97,Uniqlo,@uniqlo,Quality basics at good prices.,8/19/2023,"Leeds, UK",#QualityBasics,Positive
98,Nike,@nike,Reliable sportswear brand.,9/1/2020,"Birmingham, UK",#Sportswear,Positive
99,Mango,@mango,Fashionable and affordable.,10/3/2021,"Manchester, UK",#AffordableFashion,Positive
100,Topshop,@topshop,Disappointed with recent collection.,11/17/2022,"London, UK",#FashionDisappointment,Negative
101,Zara,@zaraofficial,Quality has improved.,5/10/2022,"London, UK",#QualityImprovement,Positive
102,Gucci,@gucci,Love their innovative designs!,3/12/2023,"Manchester, UK",#FashionInnovation,Positive
103,H&M,@hm,Slow shipping times. ??,8/5/2021,"Leeds, UK",#ShippingIssues,Negative
104,Adidas,@adidas,Not living up to expectations.,11/23/2020,"Birmingham, UK",#Disappointed,Negative
105,Balenciaga,@balenciaga,"High fashion, high prices.",7/1/2023,"Glasgow, UK",#LuxuryFashion,Neutral
106,Primark,@primark,"Great deals, but lack of variety.",2/19/2022,"London, UK",#ValueForMoney,Neutral
107,ASOS,@asos,Always impressed with their selection.,5/14/2021,"Manchester, UK",#FashionChoices,Positive
108,Mango,@mango,Affordable and stylish.,6/30/2023,"Birmingham, UK",#AffordableFashion,Positive
109,Topman,@topman,Classic styles for men.,12/17/2020,"London, UK",#MensFashion,Positive
110,Zara,@zaraofficial,Quality doesn't match the price.,3/5/2021,"Glasgow, UK",#QuestionableQuality,Negative
111,Gucci,@gucci,Exquisite craftsmanship.,10/8/2022,"Edinburgh, UK",#LuxuryFashion,Positive
112,H&M,@hm,Disappointed with recent collection.,2/21/2023,"Manchester, UK",#FashionDisappointment,Negative
113,Adidas,@adidas,The best sportswear out there.,6/19/2020,"London, UK",#AthleticWear,Positive
114,Balenciaga,@balenciaga,Overpriced for what you get.,9/15/2021,"Birmingham, UK",#HighFashion,Negative
115,Primark,@primark,Great value for basics.,11/11/2022,"Leeds, UK",#BudgetFashion,Positive
116,ASOS,@asos,Inconsistent sizing.,3/8/2023,"Manchester, UK",#SizeInconsistency,Negative
117,Mango,@mango,Their styles resonate with me.,7/3/2020,"London, UK",#PersonalStyle,Positive
118,Topman,@topman,Needs more diverse styles.,10/25/2021,"Birmingham, UK",#FashionDiversity,Neutral
119,Zara,@zaraofficial,Trendy and affordable fashion.,1/14/2022,"Glasgow, UK",#TrendyAffordable,Positive
120,Gucci,@gucci,Timeless luxury pieces.,8/17/2023,"London, UK",#LuxuryFashion,Positive
121,H&M,@hm,Not happy with customer service.,4/19/2020,"Manchester, UK",#CustomerService,Negative
122,Adidas,@adidas,Reliable for athletic wear.,6/28/2021,"Birmingham, UK",#AthleticWear,Positive
123,Balenciaga,@balenciaga,"Edgy designs, but not for everyone.",9/2/2022,"Glasgow, UK",#EdgyFashion,Neutral
124,Primark,@primark,Great bargains and trendy finds.,5/15/2023,"London, UK",#BudgetFinds,Positive
125,ASOS,@asos,Love the diversity in styles.,8/11/2020,"Manchester, UK",#FashionDiversity,Positive
126,Mango,@mango,Satisfied with my purchases.,11/8/2021,"Birmingham, UK",#HappyCustomer,Positive
127,Topman,@topman,"Classic styles, but not cutting-edge.",3/14/2022,"London, UK",#ClassicStyles,Neutral
128,Zara,@zaraofficial,Affordable and chic.,7/20/2023,"Glasgow, UK",#AffordableFashion,Positive
129,Gucci,@gucci,Luxury at its finest.,9/22/2020,"Edinburgh, UK",#LuxuryFashion,Positive
130,H&M,@hm,Not impressed with recent collection.,4/27/2021,"Manchester, UK",#FashionReview,Negative
131,Adidas,@adidas,Love their sportswear range.,2/10/2022,"Birmingham, UK",#Sportswear,Positive
132,Balenciaga,@balenciaga,"Innovative, but pricey.",5/1/2023,"Glasgow, UK",#FashionInnovation,Neutral
133,Primark,@primark,Budget-friendly shopping heaven.,10/29/2020,"London, UK",#AffordableStyle,Positive
134,ASOS,@asos,Mixed experience with their products.,8/12/2021,"Manchester, UK",#VariedExperience,Neutral
135,Mango,@mango,Affordable fashion finds!,12/15/2022,"Birmingham, UK",#FashionFinds,Positive
136,Topman,@topman,Could improve their variety.,1/18/2023,"London, UK",#FashionVariety,Neutral
137,Zara,@zaraofficial,Quality has declined.,3/10/2020,"Glasgow, UK",#QualityDecline,Negative
138,Gucci,@gucci,Premium luxury fashion.,6/28/2021,"Edinburgh, UK",#LuxuryFashion,Positive
139,H&M,@hm,Affordable and trendy.,8/19/2022,"Manchester, UK",#AffordableFashion,Positive
140,Adidas,@adidas,Dependable sportswear.,1/21/2023,"Birmingham, UK",#Reliable,Positive
141,Balenciaga,@balenciaga,Overhyped and overpriced.,7/14/2020,"Glasgow, UK",#Overhyped,Negative
142,Primark,@primark,Stylish options on a budget.,9/28/2021,"London, UK",#BudgetStyle,Positive
143,ASOS,@asos,Wide range of styles available.,4/16/2022,"Manchester, UK",#FashionVariety,Positive
144,Mango,@mango,Affordable and chic.,3/2/2023,"Birmingham, UK",#ChicAndAffordable,Positive
145,Topman,@topman,Good quality for the price.,11/12/2020,"London, UK",#ValueForMoney,Positive
146,Zara,@zaraofficial,Disappointed with recent purchases.,12/5/2021,"Glasgow, UK",#FashionDisappointment,Negative
147,Gucci,@gucci,Luxury and elegance combined.,10/30/2022,"Edinburgh, UK",#LuxuryFashion,Positive
148,H&M,@hm,Affordable basics are a win!,5/18/2023,"Manchester, UK",#WardrobeEssentials,Positive
149,Adidas,@adidas,Reliable brand for sportswear.,8/9/2020,"Birmingham, UK",#AthleticWear,Positive
150,Balenciaga,@balenciaga,Unique and daring designs.,4/22/2021,"Glasgow, UK",#EdgyFashion,Positive
151,Primark,@primark,Wallet-friendly options.,6/25/2022,"London, UK",#BudgetFashion,Positive
152,ASOS,@asos,Not happy with recent orders.,3/11/2023,"Manchester, UK",#FashionReview,Negative
153,Mango,@mango,Fashionable and budget-friendly.,9/28/2020,"Birmingham, UK",#FashionOnABudget,Positive
154,Topman,@topman,Could improve their customer service.,1/19/2021,"London, UK",#CustomerService,Negative
155,Zara,@zaraofficial,Stylish and affordable choices.,2/14/2022,"Glasgow, UK",#FashionChoices,Positive
156,Gucci,@gucci,Classic luxury pieces.,7/17/2023,"Edinburgh, UK",#ClassicLuxury,Positive
157,H&M,@hm,Not as impressed with recent designs.,11/21/2020,"Manchester, UK",#FashionReview,Negative
158,Adidas,@adidas,Reliable for sportswear needs.,1/16/2022,"Birmingham, UK",#Sportswear,Positive
159,Balenciaga,@balenciaga,Avant-garde designs.,5/3/2023,"Glasgow, UK",#AvantGarde,Positive
160,Primark,@primark,Affordable and trendy fashion.,7/27/2020,"London, UK",#AffordableFashion,Positive
161,ASOS,@asos,Satisfied with my purchases.,10/12/2021,"Manchester, UK",#HappyCustomer,Positive
162,Mango,@mango,Stylish options for all occasions.,12/8/2022,"Birmingham, UK",#VersatileStyle,Positive
163,Topman,@topman,Lacks diversity in styles.,2/18/2023,"London, UK",#FashionDiversity,Negative
164,Zara,@zaraofficial,Classic and affordable.,3/20/2020,"Glasgow, UK",#ClassicAffordable,Positive
165,Gucci,@gucci,High-end luxury fashion.,7/2/2021,"Edinburgh, UK",#LuxuryFashion,Positive
166,H&M,@hm,Affordable basics are reliable.,8/14/2022,"Manchester, UK",#WardrobeEssentials,Positive
167,Adidas,@adidas,Dependable for sportswear needs.,1/27/2023,"Birmingham, UK",#Reliable,Positive
168,Balenciaga,@balenciaga,"Unique designs, but not my style.",6/9/2020,"Glasgow, UK",#UniqueDesigns,Neutral
169,Primark,@primark,Budget-friendly fashion finds.,9/5/2021,"London, UK",#FashionFinds,Positive
170,ASOS,@asos,Disappointed with recent quality.,4/17/2022,"Manchester, UK",#QualityConcerns,Negative
171,Mango,@mango,Stylish and affordable.,6/22/2023,"Birmingham, UK",#FashionStyle,Positive
172,Topman,@topman,Lacks options for formal wear.,8/28/2020,"London, UK",#FormalFashion,Neutral
173,Zara,@zaraofficial,Trendy and budget-friendly.,12/30/2021,"Glasgow, UK",#FashionOnABudget,Positive
174,Gucci,@gucci,Classic and luxurious fashion.,10/3/2022,"Edinburgh, UK",#LuxuryFashion,Positive
175,H&M,@hm,Frustrating online shopping experience.,3/15/2023,"Manchester, UK",#OnlineShopping,Negative
176,Adidas,@adidas,Trusted for sportswear.,9/18/2020,"Birmingham, UK",#Sportswear,Positive
177,Balenciaga,@balenciaga,Artistic and unconventional.,11/22/2021,"Glasgow, UK",#ArtisticFashion,Positive
178,Primark,@primark,Affordable and trendy options.,9/17/2022,"London, UK",#AffordableStyle,Positive
179,ASOS,@asos,"Varied selection, sometimes overwhelming.",3/8/2023,"Manchester, UK",#FashionVariety,Neutral
180,Mango,@mango,Stylish and affordable choices.,10/29/2020,"Birmingham, UK",#StylishAffordable,Positive
181,Topman,@topman,Limited options for plus sizes.,7/14/2021,"London, UK",#SizeInclusivity,Neutral
182,Zara,@zaraofficial,Stylish but overpriced.,3/18/2022,"Glasgow, UK",#FashionPricey,Neutral
183,Gucci,@gucci,Luxury fashion with a high price tag.,1/22/2023,"Edinburgh, UK",#LuxuryFashion,Neutral
184,H&M,@hm,Affordable basics and trendy options.,9/2/2020,"Manchester, UK",#WardrobeEssentials,Positive
185,Adidas,@adidas,Consistently reliable sportswear.,5/29/2021,"Birmingham, UK",#Sportswear,Positive
186,Balenciaga,@balenciaga,Unique and avant-garde fashion.,10/14/2022,"Glasgow, UK",#AvantGarde,Positive
187,Primark,@primark,Affordable fashion for all.,3/9/2023,"London, UK",#FashionForAll,Positive
188,ASOS,@asos,Inconsistent quality.,6/28/2020,"Manchester, UK",#QualityIssues,Neutral
189,Mango,@mango,Budget-friendly and stylish.,11/15/2021,"Birmingham, UK",#BudgetStylish,Positive
190,Topman,@topman,"Classic styles, but lacking innovation.",5/12/2022,"London, UK",#ClassicInnovation,Neutral
191,Zara,@zaraofficial,Stylish options but not worth the price.,7/28/2023,"Glasgow, UK",#StylishOverpriced,Neutral
192,Gucci,@gucci,"Premium fashion, premium prices.",8/22/2020,"Edinburgh, UK",#LuxuryFashion,Neutral
193,H&M,@hm,Reliable basics at affordable prices.,12/5/2021,"Manchester, UK",#BasicsAffordable,Positive
194,Adidas,@adidas,Trusted brand for sportswear needs.,4/28/2022,"Birmingham, UK",#Sportswear,Positive
195,Balenciaga,@balenciaga,Edgy and unconventional designs.,2/17/2023,"Glasgow, UK",#EdgyFashion,Positive
196,Primark,@primark,Affordable fashion paradise.,11/19/2020,"London, UK",#FashionParadise,Positive
197,ASOS,@asos,Convenient online shopping experience.,8/22/2021,"Manchester, UK",#OnlineShopping,Positive
198,Mango,@mango,Fashionable and budget-friendly options.,3/19/2022,"Birmingham, UK",#BudgetFashion,Positive
199,Topman,@topman,Limited selection of formal wear.,5/13/2023,"London, UK",#FormalFashion,Neutral
200,Zara,@zaraofficial,"Stylish options, but some quality issues.",7/16/2020,"Glasgow, UK",#FashionQualityIssues,Neutral
201,Gucci,@gucci,Exquisite luxury fashion.,10/28/2021,"Edinburgh, UK",#LuxuryFashion,Positive
202,H&M,@hm,Affordable fashion for all occasions.,2/25/2022,"Manchester, UK",#FashionForAll,Positive
203,Adidas,@adidas,Trusted for athletic wear.,6/9/2023,"Birmingham, UK",#AthleticWear,Positive
204,Balenciaga,@balenciaga,Unique and daring designs.,3/11/2020,"Glasgow, UK",#DaringFashion,Positive
205,Primark,@primark,Budget-friendly and trendy fashion.,12/8/2021,"London, UK",#BudgetTrendy,Positive
206,ASOS,@asos,"Fast shipping, good selection.",9/29/2022,"Manchester, UK",#FastShipping,Positive
207,Mango,@mango,Stylish and affordable.,1/30/2023,"Birmingham, UK",#StylishAffordable,Positive
208,Topman,@topman,Needs more variety in styles.,8/11/2020,"London, UK",#FashionVariety,Neutral
209,Zara,@zaraofficial,Stylish but inconsistent quality.,10/15/2021,"Glasgow, UK",#FashionQuality,Neutral
210,Gucci,@gucci,Timeless luxury fashion.,11/18/2022,"Edinburgh, UK",#TimelessLuxury,Positive
211,H&M,@hm,Affordable fashion for every day.,4/21/2023,"Manchester, UK",#EverydayFashion,Positive
212,Adidas,@adidas,Sporty and reliable.,5/23/2020,"Birmingham, UK",#Sportswear,Positive
213,Balenciaga,@balenciaga,Bold and artistic fashion.,6/22/2021,"Glasgow, UK",#ArtisticFashion,Positive
214,Primark,@primark,Fashion on a budget.,2/14/2022,"London, UK",#FashionBudget,Positive
215,ASOS,@asos,Wide range of styles.,7/11/2023,"Manchester, UK",#FashionStyles,Positive
216,Mango,@mango,Affordable and stylish.,9/15/2020,"Birmingham, UK",#AffordableStylish,Positive
217,Topman,@topman,Classic styles with room for improvement.,4/18/2021,"London, UK",#ClassicFashion,Neutral
218,Zara,@zaraofficial,"Trendy options, hit or miss.",6/9/2022,"Glasgow, UK",#FashionTrends,Neutral
219,Gucci,@gucci,Luxury fashion statement.,3/28/2023,"Edinburgh, UK",#LuxuryFashion,Positive
220,H&M,@hm,Reliable basics and trendy finds.,10/11/2020,"Manchester, UK",#FashionFinds,Positive
221,Adidas,@adidas,Dependable for sportswear.,11/18/2021,"Birmingham, UK",#Sportswear,Positive
222,Balenciaga,@balenciaga,"High fashion, high prices.",4/30/2022,"Glasgow, UK",#HighFashion,Neutral
223,Primark,@primark,Affordable and fashionable.,1/22/2023,"London, UK",#AffordableFashion,Positive
224,ASOS,@asos,Mixed experience with their products.,12/8/2020,"Manchester, UK",#VariedExperience,Neutral
225,Mango,@mango,Stylish and affordable.,9/15/2021,"Birmingham, UK",#StylishAffordable,Positive
226,Topman,@topman,Limited sizing options.,10/5/2022,"London, UK",#SizeVariety,Negative
227,Zara,@zaraofficial,Stylish but inconsistent quality.,2/17/2023,"Glasgow, UK",#FashionQuality,Neutral
228,Gucci,@gucci,Timeless luxury fashion.,11/19/2020,"Edinburgh, UK",#TimelessLuxury,Positive
229,H&M,@hm,Affordable fashion for every day.,4/21/2021,"Manchester, UK",#EverydayFashion,Positive
230,Adidas,@adidas,Sporty and reliable.,5/23/2022,"Birmingham, UK",#Sportswear,Positive
231,Balenciaga,@balenciaga,Bold and artistic fashion.,6/22/2023,"Glasgow, UK",#ArtisticFashion,Positive
232,Primark,@primark,Fashion on a budget.,7/14/2020,"London, UK",#FashionBudget,Positive
233,ASOS,@asos,Wide range of styles.,8/11/2021,"Manchester, UK",#FashionStyles,Positive
234,Mango,@mango,Affordable and stylish.,9/15/2022,"Birmingham, UK",#AffordableStylish,Positive
235,Topshop,@topshop,Disappointed with recent collection.,6/18/2023,"London, UK",#FashionDisappointment,Negative
236,Zara,@zaraofficial,Trendy but overpriced.,9/20/2020,"Glasgow, UK",#FashionPricey,Neutral
237,Gucci,@gucci,Luxury fashion with a high price tag.,2/10/2021,"Edinburgh, UK",#LuxuryFashion,Neutral
238,H&M,@hm,Affordable basics and trendy options.,4/2/2022,"Manchester, UK",#WardrobeEssentials,Positive
239,Adidas,@adidas,Consistently reliable sportswear.,5/5/2023,"Birmingham, UK",#Sportswear,Positive
240,Balenciaga,@balenciaga,Unique and avant-garde fashion.,6/12/2020,"Glasgow, UK",#AvantGarde,Positive
241,Primark,@primark,Affordable fashion for all.,8/29/2021,"London, UK",#FashionForAll,Positive
242,ASOS,@asos,Inconsistent quality.,10/2/2022,"Manchester, UK",#QualityIssues,Negative
243,Mango,@mango,Budget-friendly and stylish.,3/27/2023,"Birmingham, UK",#BudgetStylish,Positive
244,Topman,@topman,"Classic styles, but lacking innovation.",4/30/2020,"London, UK",#ClassicInnovation,Neutral
245,Zara,@zaraofficial,Stylish options but not worth the price.,9/20/2021,"Glasgow, UK",#StylishOverpriced,Neutral
246,Gucci,@gucci,"Premium fashion, premium prices.",12/10/2022,"Edinburgh, UK",#LuxuryFashion,Neutral
247,H&M,@hm,Reliable basics at affordable prices.,6/2/2023,"Manchester, UK",#BasicsAffordable,Positive
248,Adidas,@adidas,Trusted brand for sportswear needs.,7/28/2020,"Birmingham, UK",#Sportswear,Positive
249,Balenciaga,@balenciaga,Edgy and unconventional designs.,10/21/2021,"Glasgow, UK",#EdgyFashion,Positive
250,Primark,@primark,Affordable fashion paradise.,12/15/2022,"London, UK",#FashionParadise,Positive
251,ASOS,@asos,Convenient online shopping experience.,3/28/2020,"Manchester, UK",#OnlineShopping,Positive
252,Mango,@mango,Stylish and affordable options.,11/30/2021,"Birmingham, UK",#StylishAffordable,Positive
253,Topman,@topman,Limited selection of formal wear.,2/28/2022,"London, UK",#FormalFashion,Neutral
254,Zara,@zaraofficial,"Stylish options, but some quality issues.",3/12/2023,"Glasgow, UK",#FashionQualityIssues,Neutral
255,Gucci,@gucci,Exquisite luxury fashion.,9/10/2020,"Edinburgh, UK",#LuxuryFashion,Positive
256,H&M,@hm,Affordable fashion for all occasions.,12/22/2021,"Manchester, UK",#FashionForAll,Positive
257,Adidas,@adidas,Trusted for athletic wear.,5/18/2023,"Birmingham, UK",#AthleticWear,Positive
258,Balenciaga,@balenciaga,Unique and daring designs.,8/9/2020,"Glasgow, UK",#DaringFashion,Positive
259,Primark,@primark,Affordable and trendy fashion.,12/5/2021,"London, UK",#BudgetFashion,Positive
260,ASOS,@asos,"Fast shipping, good selection.",10/18/2022,"Manchester, UK",#FastShipping,Positive
261,Mango,@mango,Stylish and affordable.,1/28/2023,"Birmingham, UK",#StylishAffordable,Positive
262,Topman,@topman,Needs more variety in styles.,6/10/2020,"London, UK",#FashionVariety,Neutral
263,Zara,@zaraofficial,Stylish but inconsistent quality.,8/12/2021,"Glasgow, UK",#FashionQuality,Neutral
264,Gucci,@gucci,Timeless luxury fashion.,10/15/2022,"Edinburgh, UK",#TimelessLuxury,Positive
265,H&M,@hm,Affordable fashion for every day.,4/29/2023,"Manchester, UK",#EverydayFashion,Positive
266,Adidas,@adidas,Sporty and reliable.,5/22/2020,"Birmingham, UK",#Sportswear,Positive
